mu,Delta,Gap
-4.0,0.2,2.001005001338952
-4.0,0.2947368421052632,2.0010489670884546
-4.0,0.3894736842105263,2.0011096816782006
-4.0,0.4842105263157895,2.001187065510627
-4.0,0.5789473684210527,2.0012810242911407
-4.0,0.6736842105263159,2.001391452544538
-4.0,0.7684210526315789,2.001518236664864
-4.0,0.8631578947368421,2.0016612573771244
-4.0,0.9578947368421054,2.0018203916209
-4.0,1.0526315789473684,2.0019955139358037
-4.0,1.1473684210526316,2.0021864974516586
-4.0,1.2421052631578948,2.0023932145818626
-4.0,1.3368421052631578,2.002615537502053
-4.0,1.431578947368421,2.0028533384775065
-4.0,1.5263157894736843,2.003106490085677
-4.0,1.6210526315789473,2.0033748653669017
-4.0,1.7157894736842105,2.0036583379263946
-4.0,1.8105263157894738,2.0039567820030264
-4.0,1.9052631578947368,2.0042700725158036
-4.0,2.0,2.0045980850952785
-3.959798994974874,0.2,1.9608047603300425
-3.959798994974874,0.2947368421052632,1.9608496189169031
-3.959798994974874,0.3894736842105263,1.9609115642358559
-3.959798994974874,0.4842105263157895,1.960990513189423
-3.959798994974874,0.5789473684210527,1.9610863674559322
-3.959798994974874,0.6736842105263159,1.961199017189079
-3.959798994974874,0.7684210526315789,1.961328344208894
-3.959798994974874,0.8631578947368421,1.9614742245624384
-3.959798994974874,0.9578947368421054,1.9616365304717194
-3.959798994974874,1.0526315789473684,1.9618151317582688
-3.959798994974874,1.1473684210526316,1.9620098968556994
-3.959798994974874,1.2421052631578948,1.9622206935150743
-3.959798994974874,1.3368421052631578,1.962447389289456
-3.959798994974874,1.431578947368421,1.9626898518638392
-3.959798994974874,1.5263157894736843,1.962947949278418
-3.959798994974874,1.6210526315789473,1.9632215500792856
-3.959798994974874,1.7157894736842105,1.9635105234198842
-3.959798994974874,1.8105263157894738,1.9638147391293366
-3.959798994974874,1.9052631578947368,1.9641340677584285
-3.959798994974874,2.0,1.964468380610532
-3.919597989949749,0.2,1.9206045510683487
-3.919597989949749,0.2947368421052632,1.9206503395264183
-3.919597989949749,0.3894736842105263,1.9207135665155712
-3.919597989949749,0.4842105263157895,1.920794145206674
-3.919597989949749,0.5789473684210527,1.920891972991013
-3.919597989949749,0.6736842105263159,1.9210069353759074
-3.919597989949749,0.7684210526315789,1.921138909325505
-3.919597989949749,0.8631578947368421,1.9212877659257013
-3.919597989949749,0.9578947368421054,1.9214533723991853
-3.919597989949749,1.0526315789473684,1.9216355935704605
-3.919597989949749,1.1473684210526316,1.9218342929012802
-3.919597989949749,1.2421052631578948,1.922049333208154
-3.919597989949749,1.3368421052631578,1.9222805771527165
-3.919597989949749,1.431578947368421,1.9225278875741478
-3.919597989949749,1.5263157894736843,1.922791127713071
-3.919597989949749,1.6210526315789473,1.923070161362128
-3.919597989949749,1.7157894736842105,1.9233648529669325
-3.919597989949749,1.8105263157894738,1.923675067693866
-3.919597989949749,1.9052631578947368,1.924000671475522
-3.919597989949749,2.0,1.9243415310412235
-3.879396984924623,0.2,1.88040437557584
-3.879396984924623,0.2947368421052632,1.8804511332927842
-3.879396984924623,0.3894736842105263,1.8805156961231237
-3.879396984924623,0.4842105263157895,1.8805979732536453
-3.879396984924623,0.5789473684210527,1.8806978575060196
-3.879396984924623,0.6736842105263159,1.8808152294423988
-3.879396984924623,0.7684210526315789,1.8809499608654972
-3.879396984924623,0.8631578947368421,1.8811019175933241
-3.879396984924623,0.9578947368421054,1.8812709615443164
-3.879396984924623,1.0526315789473684,1.8814569522441311
-3.879396984924623,1.1473684210526316,1.8816597478845358
-3.879396984924623,1.2421052631578948,1.8818792060530576
-3.879396984924623,1.3368421052631578,1.882115184229272
